Job Title,Company Name,Vacancy Link,salary,Experience needed,skills
Analystics & Modeling Specialist,Accenture,https://www.naukri.com/job-listings-analystics-modeling-specialist-accenture-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-6-to-8-years-130223902315,Not disclosed,6-8 Yrs,"Bfsi,Consulting,Machine learning,Open source,Python,Open,Source,Modeling"
Machine Learning (AI) Architect,Persistent,https://www.naukri.com/job-listings-machine-learning-ai-architect-persistent-systems-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-12-years-100323501374,Not disclosed,5-12 Yrs,"Time,Networking,Engagement,Healthcare,Machine,Neural networks,Analysis,Time series analysis"
ACN - Applied Intelligence - Finance - Data Science - 09,Accenture,https://www.naukri.com/job-listings-acn-applied-intelligence-finance-data-science-09-accenture-solutions-pvt-ltd-hyderabad-secunderabad-pune-chennai-gurgaon-gurugram-bangalore-bengaluru-2-to-7-years-280623907856,Not disclosed,2-7 Yrs,"Data Science,Applied Intelligence,Data processing,Analytics,Python,CI/Cd,Application,Hadoop"
Data Scientist (CPG),Tredence,https://www.naukri.com/job-listings-data-scientist-cpg-tredence-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-070723500047,Not disclosed,2-4 Yrs,"Predictive,Networking,Machine,Neural networks,Analytical,Analytics,SQL,Troubleshooting"
Data Scientist - Consultant (Retail),Tredence,https://www.naukri.com/job-listings-data-scientist-consultant-retail-tredence-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-070723500046,Not disclosed,2-4 Yrs,"Analysis,Analytics,Analytical,Troubleshooting,Data,Machine,Consulting,SQL"
Data Scientist - Consultant (Retail),Tredence,https://www.naukri.com/job-listings-data-scientist-consultant-retail-tredence-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-070723500045,Not disclosed,2-4 Yrs,"Analysis,Analytics,Troubleshooting,Networking,Data,Machine,Consulting,SQL"
Data Scientist,Rockwell Automation,https://www.naukri.com/job-listings-data-scientist-rockwell-automation-pune-bangalore-bengaluru-3-to-7-years-010723500454,Not disclosed,3-7 Yrs,"Software testing,Data analytics,Test scenarios,Management,Relationship,Science,Change,Relationship building"
Director/Senior Director - Data Science,Axtria India,https://www.naukri.com/job-listings-director-senior-director-data-science-axtria-india-pvt-ltd-noida-hyderabad-secunderabad-pune-gurgaon-gurugram-bangalore-bengaluru-10-to-15-years-240523909417,Not disclosed,10-15 Yrs,"Data Science,Data modeling,Data Pipeline,Data quality,Intelligence,Deep Learning Frameworks,Modeling,Framework"
Manager/Senior Manager - Data Science,Axtria India,https://www.naukri.com/job-listings-manager-senior-manager-data-science-axtria-india-pvt-ltd-noida-hyderabad-secunderabad-pune-gurgaon-gurugram-bangalore-bengaluru-8-to-12-years-240523908600,Not disclosed,8-12 Yrs,"Data Science,Natural language processing,Data management,Shiny,Data Pipeline,Management,Intelligence,Data quality"
Data Scientist,Blackstraw Technologies,https://www.naukri.com/job-listings-data-scientist-blackstraw-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-5-years-060723501609,Not disclosed,3-5 Yrs,"Forecasting,Data Visualization,Machine,Process,Econometrics,Operations,Research,C++"
